LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,eyes
627.7228764,-1.005142914,237.1943949,0.083885536,395.3487274,1.011948194,268.1598835,0.202920183,224.6405696,-0.318355003,243.8592732,0.172521971,0
511.8843205,-2.201345939,211.3547403,0.598303817,339.9312045,0.48503577,307.6939439,0.643056684,226.4776062,0.067274081,240.1221202,0.175322144,0
599.3666914,-0.064412885,290.6926889,1.093621179,316.2698294,1.533255352,271.7913763,0.940729237,233.0264855,-0.389686353,254.6783799,0.099392687,0
503.7914493,1.965280942,510.1023274,0.849061384,426.4866417,0.668816907,314.1601193,0.654085611,323.485613,1.429398569,360.9048003,1.221825836,0
1389.141972,-1.613588498,1132.830553,-0.61138834,397.1427066,-1.360705256,313.2252167,-0.215458357,322.7608888,-0.829128547,321.6146621,-0.171663073,0
1044.188656,0.009489151,791.3248319,0.58419524,389.047145,1.329559448,297.2432534,-0.027060024,280.8716996,-0.543573572,318.9703101,-0.154200812,0
1111.00397,-0.638167605,762.9180933,1.056439588,267.9387457,0.297475983,319.4560278,-0.045564516,276.1277027,0.471332685,280.4208298,0.143279107,0
1112.204531,1.596255922,761.8915213,-0.445051717,268.6090575,-0.53828647,311.4415193,-0.73767862,303.4739057,0.227087956,283.6480691,0.697764825,0
1096.944579,0.65917069,799.051147,0.117222201,238.1958815,0.361303983,303.4774116,-0.093976971,291.8258678,0.034711489,292.1430749,0.026587899,0
1095.283834,-0.265193722,815.2050513,0.788228134,248.0046867,-0.718743705,316.0787336,-0.539662725,296.766396,0.086782108,282.2806391,-0.43205208,0
1059.529984,-1.150520573,858.0438688,-0.667033503,244.5313413,-0.358389849,310.5220922,-0.349827176,324.8513575,-0.845753568,266.4048014,-0.18735387,0
1039.040314,0.904556871,873.0537316,0.031437123,272.5244416,-0.904606887,279.8066295,1.041226632,355.0007172,-0.640034879,317.3777586,-0.438896908,0
1119.761967,-0.336342239,1081.419725,-1.37266788,192.3448331,-0.98174247,320.5141556,-0.363143099,416.0887519,-1.223979859,397.8989179,-0.709250274,0
964.1015027,-1.149185197,964.5258677,-1.250337361,472.2981316,-0.917602441,327.0231198,-0.411738633,381.0223737,0.076363233,362.4855041,-0.269048783,0
847.8469692,1.739522017,308.9690809,1.378481374,267.0002576,-0.429838188,397.8767517,1.111651298,393.8272034,1.128382074,400.0699906,0.683740005,0
489.3059118,0.830766576,346.7652367,0.266015132,290.3750374,0.176245193,312.3148451,-0.608217552,410.5057022,-0.106643867,405.5394732,-0.336909983,0
