LowGamma,LowGammePhase,HighGamma,HighGammaPhase,focus
1049.363576,0.995499847,3319.85792,1.241358485,1
1121.856884,0.88493468,3528.18383,0.661424641,1
1016.197774,0.912032397,3385.436689,0.796845366,1
918.3978168,0.694707576,3702.850981,0.975549887,1
853.3196907,0.483546736,3647.401823,0.700479118,1
787.6437939,0.06456015,3403.547762,-0.40519694,1
770.2687698,-0.358727373,3429.487,-0.150043565,1
986.2616167,1.371800515,3414.170788,1.061613411,1
954.0470109,1.266330318,3110.208982,0.848103556,1
1023.941032,1.176657473,2469.251508,0.432034037,1
589.8738287,1.470316226,2071.036446,-0.308354258,1
589.8738287,-0.528879099,2071.036446,-0.639048221,1
589.8538463,-0.243026102,2071.130298,-0.308125734,1
1627.963474,-1.799406025,3393.046251,-1.443003367,1
1317.346009,-1.120335347,3503.541233,-1.141337424,1
1234.118706,-0.583485146,3589.472281,-1.261441517,1
1000.385474,-1.264460981,3653.696279,-1.403700842,1
1012.915559,-0.946281476,3717.180172,-1.013218295,1
925.061752,-0.232667646,3480.886518,-0.34617527,1
830.5122324,-0.742507814,3457.407187,-0.497942293,1
941.519445,-0.538678664,3454.867912,-0.93351017,1
910.131108,-1.28370299,3228.0976,-1.174673099,1
970.9063184,0.104889974,2792.218821,-0.412823416,1
643.8016438,0.769246152,2185.753246,1.05349799,1
643.6990954,-0.086993113,2186.186323,0.061832644,1
643.118623,-0.372669661,2186.150791,-0.26866,1
1731.307365,1.267375755,3063.932422,1.052625111,1
1502.59914,0.77465921,3495.633525,0.902034703,1
1305.002314,0.930273764,3634.851606,0.38834286,1
1194.97432,0.983687653,3649.97686,0.692480135,1
1026.120893,0.633299175,3712.959349,0.686507501,1
1031.75625,0.305448689,3598.911568,0.162549014,1
814.5851616,0.371510951,3486.929862,0.287536274,1
934.3161686,0.70569706,3474.322036,0.650238021,1
870.3715384,0.697973898,3256.846519,0.83462961,1
692.9077738,0.311275112,2816.85955,0.497321128,1
755.5284769,-2.131439827,2187.91576,-1.960069697,1
559.7924035,0.445805297,2046.441674,0.153399192,1
559.7680304,-0.410198433,2046.539249,-0.17669826,1
1483.424748,-1.481869792,2681.383042,-0.872804428,1
1436.997042,-1.43933771,3442.625202,-1.350975681,1
1321.788229,-1.411448996,3674.315331,-1.203583294,1
1144.929318,-1.804189873,3542.07602,-1.147555798,1
996.4193895,-1.143675034,3641.185149,-0.815620491,1
964.7041376,-0.747377806,3539.394907,-0.692413458,1
821.1262317,0.019963708,3447.935225,0.164676517,1
787.3221508,-0.243976627,3435.330512,-0.495516898,1
846.8203534,-1.077619243,3315.215085,-1.106892295,1
772.2875463,-1.36931374,2964.259614,-1.089287176,1
862.4351594,1.233300527,2261.606353,1.364104143,1
625.6231021,0.53573265,2111.289324,-0.099842954,1
625.6266231,-0.32131265,2111.300116,-0.099750712,1
1442.217947,1.714808886,2666.002547,1.338244378,1
1406.043223,1.232471438,3453.845078,0.88161552,1
1318.886156,1.242527499,3613.79715,0.680547861,1
1204.667358,0.796901168,3610.435539,0.702754576,1
971.1445655,0.87332154,3672.736122,0.91762103,1
1046.453687,0.588524609,3609.611654,0.097778965,1
908.5116684,0.248919208,3523.81051,0.315758397,1
845.3476701,0.664069868,3432.712585,0.689667193,1
825.1852432,0.863261367,3341.859312,0.650257794,1
786.8267684,0.137925186,3005.459025,0.409029105,1
798.0818698,-1.372725588,2234.766911,-1.495649818,1
617.8151305,-0.509725468,2124.398923,-0.099929901,1
618.0767533,-0.224512652,2124.642162,-0.10029765,1
1631.717038,-1.713776346,2894.248832,-0.98086106,1
1524.778146,-1.466134278,3505.24904,-1.354579051,1
1217.129955,-1.617909592,3522.733323,-1.376049394,1
1205.84875,-1.46023977,3631.766256,-0.988832454,1
1004.898439,-1.484955125,3686.983229,-0.830647342,1
823.0768843,-1.093857052,3446.286432,-0.962157214,1
738.6803362,-0.473954018,3441.418865,-0.176993019,1
805.1544211,-0.676279341,3409.871918,-0.797423609,1
833.6824279,-1.445547644,3289.722745,-1.03513546,1
675.878553,-0.032226823,2870.532646,-0.366426518,1
510.6918449,0.754288095,2050.046359,1.010844288,1
511.2121968,-0.674817156,2050.737673,-0.312545883,1
511.0613824,0.183061023,2050.854402,0.01914311,1
1866.203833,1.101345827,3259.633702,1.236987941,1
1415.339352,1.059528351,3464.140135,1.053363325,1
1341.341823,1.04434326,3637.603343,0.68772781,1
1155.180989,0.878059242,3660.088187,0.569643564,1
974.45712,1.069467548,3699.472594,0.890381273,1
853.9226562,-0.072112695,3437.628889,-0.171939599,1
804.0607005,0.006085919,3455.920202,-0.009960226,1
903.0765285,1.019874004,3459.317608,1.064525903,1
849.2693724,0.515342062,3234.35045,0.62106554,1
727.8042417,0.275418583,2803.720931,0.377770664,1
514.4178597,1.868087309,2034.496937,0.172953274,1
514.630246,0.43915014,2034.670022,-0.158227444,1
514.4931671,0.153900033,2034.722281,-0.158073202,1
1380.73031,-2.39456541,3424.904256,-1.594653292,1
1268.714726,-1.856868678,3509.987921,-1.395046265,1
1094.298332,-1.479664405,3483.937788,-0.986582563,1
