LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha ,AvgBeta,AvgGamma,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,View
972.444049,0.455489959,751.5217136,-0.51043137,769.4397558,0.083155919,546.7756592,-0.027988718,200.3234662,0.561548078,410.8300593,-0.091598463,861.9828813,658.1077075,305.5767628,879.2558568,659.731163,275.2262506,982.6244334,687.3930399,377.420512,771.5810108,654.1864424,356.2193976,451.6997338,263.2495895,312.3416854,557.7790203,284.3246531,308.0801169,2
921.8713375,-0.579908359,709.6055416,-1.947536629,755.8224667,0.711690988,540.1848538,0.541336065,204.8795565,0.89874482,467.0976597,0.970839804,815.7384396,648.0036603,335.9886081,861.9828813,658.1077075,305.5767628,879.2558568,659.731163,275.2262506,982.6244334,687.3930399,377.420512,771.5810108,654.1864424,356.2193976,451.6997338,263.2495895,312.3416854,2
896.4319249,1.79314985,638.4895448,-1.574021383,753.6263255,1.365616615,540.2726796,-0.324477174,191.0376552,0.890237418,521.7007154,1.17059743,767.4607349,646.9495026,356.3691853,815.7384396,648.0036603,335.9886081,861.9828813,658.1077075,305.5767628,879.2558568,659.731163,275.2262506,982.6244334,687.3930399,377.420512,771.5810108,654.1864424,356.2193976,2
845.0412499,0.738493434,664.5302844,-0.765580465,748.6222378,-0.475098754,542.1196642,-0.210518787,187.3447973,0.659033865,522.8733097,0.635340387,754.7857672,645.370951,355.1090535,767.4607349,646.9495026,356.3691853,815.7384396,648.0036603,335.9886081,861.9828813,658.1077075,305.5767628,879.2558568,659.731163,275.2262506,982.6244334,687.3930399,377.420512,2
906.9782377,-0.352862494,694.7910387,-0.195205226,738.7169614,0.206476968,543.6566764,-0.1367859,166.9036301,0.554941173,518.5197996,0.566791543,800.8846382,641.1868189,342.7117149,754.7857672,645.370951,355.1090535,767.4607349,646.9495026,356.3691853,815.7384396,648.0036603,335.9886081,861.9828813,658.1077075,305.5767628,879.2558568,659.731163,275.2262506,2
902.2719898,-1.431459126,677.0057064,0.546843549,737.8429917,-0.480620284,540.5498567,-0.033140975,166.562301,-0.015138105,518.8135102,0.310946231,789.6388481,639.1964242,342.6879056,800.8846382,641.1868189,342.7117149,754.7857672,645.370951,355.1090535,767.4607349,646.9495026,356.3691853,815.7384396,648.0036603,335.9886081,861.9828813,658.1077075,305.5767628,2
792.1048742,-2.403671223,716.9092865,-0.92263703,705.3454376,1.398740068,540.1761593,0.040145136,164.9876902,-1.002123016,521.6287156,-0.079112565,754.5070804,622.7607985,343.3082029,789.6388481,639.1964242,342.6879056,800.8846382,641.1868189,342.7117149,754.7857672,645.370951,355.1090535,767.4607349,646.9495026,356.3691853,815.7384396,648.0036603,335.9886081,2
320.3939352,1.18828821,265.3677542,1.421356865,257.0718288,0.547167774,196.7995326,-0.871943643,70.84081069,0.094903675,435.4233071,-0.056290469,292.8808447,226.9356807,253.1320589,754.5070804,622.7607985,343.3082029,789.6388481,639.1964242,342.6879056,800.8846382,641.1868189,342.7117149,754.7857672,645.370951,355.1090535,767.4607349,646.9495026,356.3691853,2
510.4934177,-0.228257576,273.868391,-1.819000002,269.6743903,-0.248408484,196.46629,-0.409297208,102.0574838,1.111427697,460.3151478,1.056541441,392.1809044,233.0703402,281.1863158,292.8808447,226.9356807,253.1320589,754.5070804,622.7607985,343.3082029,789.6388481,639.1964242,342.6879056,800.8846382,641.1868189,342.7117149,754.7857672,645.370951,355.1090535,2
423.3011007,-0.792242648,261.0628429,-1.367734315,264.0089895,0.474692531,205.6342656,0.30083117,158.898909,0.691483759,511.1036394,0.896039067,342.1819718,234.8216276,335.0012742,392.1809044,233.0703402,281.1863158,292.8808447,226.9356807,253.1320589,754.5070804,622.7607985,343.3082029,789.6388481,639.1964242,342.6879056,800.8846382,641.1868189,342.7117149,2
406.7149928,-1.472294663,357.5068925,-0.889226168,341.9558837,-1.15468659,250.5808656,-0.034234962,225.1756569,0.545504184,376.9684272,0.546361391,382.1109427,296.2683747,301.0720421,342.1819718,234.8216276,335.0012742,392.1809044,233.0703402,281.1863158,292.8808447,226.9356807,253.1320589,754.5070804,622.7607985,343.3082029,789.6388481,639.1964242,342.6879056,2
557.5564854,0.613233288,280.230376,0.772330795,191.5845765,1.203880169,180.7624546,0.325878597,132.2833171,1.178800964,329.6991062,1.068799847,418.8934307,186.1735156,230.9912117,382.1109427,296.2683747,301.0720421,342.1819718,234.8216276,335.0012742,392.1809044,233.0703402,281.1863158,292.8808447,226.9356807,253.1320589,754.5070804,622.7607985,343.3082029,2
615.045196,-0.107412388,279.8944694,0.156002472,172.4758958,1.379286574,160.8646759,-0.628467617,122.3318379,-0.014660592,371.9516073,0.299455082,447.4698327,166.6702859,247.1417226,418.8934307,186.1735156,230.9912117,382.1109427,296.2683747,301.0720421,342.1819718,234.8216276,335.0012742,392.1809044,233.0703402,281.1863158,292.8808447,226.9356807,253.1320589,2
583.6711605,-1.207496601,269.1685101,-0.606719667,253.3601087,-1.638688869,205.5699319,-1.067625133,161.9519582,-1.697705174,454.2694658,-1.184328423,426.4198353,229.4650203,308.110712,447.4698327,166.6702859,247.1417226,418.8934307,186.1735156,230.9912117,382.1109427,296.2683747,301.0720421,342.1819718,234.8216276,335.0012742,392.1809044,233.0703402,281.1863158,2
346.0443109,-2.565160339,371.7852371,0.099472592,118.2130088,0.593779421,163.1189063,-0.567572855,140.8356121,-1.290469198,469.5706436,-1.055574734,358.914774,140.6659576,305.2031279,426.4198353,229.4650203,308.110712,447.4698327,166.6702859,247.1417226,418.8934307,186.1735156,230.9912117,382.1109427,296.2683747,301.0720421,342.1819718,234.8216276,335.0012742,2
374.8514545,-0.308671593,383.1983151,0.719325074,118.2305927,-0.844538759,149.9208741,-0.67801335,119.4184679,-0.72451182,474.6277699,-1.127676972,379.0248848,134.0757334,297.0231189,358.914774,140.6659576,305.2031279,426.4198353,229.4650203,308.110712,447.4698327,166.6702859,247.1417226,418.8934307,186.1735156,230.9912117,382.1109427,296.2683747,301.0720421,2
297.4215718,-0.739381719,345.9307511,-0.391149488,141.8213618,-0.06022741,151.7500018,-0.055668646,127.2673159,-0.563909397,480.8345102,-0.719864622,321.6761615,146.7856818,304.0509131,379.0248848,134.0757334,297.0231189,358.914774,140.6659576,305.2031279,426.4198353,229.4650203,308.110712,447.4698327,166.6702859,247.1417226,418.8934307,186.1735156,230.9912117,2
266.5931,-0.257166164,359.3499178,0.306859953,145.7353018,0.498372943,171.5859535,-0.691520967,135.9264835,-0.905839033,483.3094729,-0.680550456,312.9715089,158.6606277,309.6179782,321.6761615,146.7856818,304.0509131,379.0248848,134.0757334,297.0231189,358.914774,140.6659576,305.2031279,426.4198353,229.4650203,308.110712,447.4698327,166.6702859,247.1417226,2
