LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,EyeM
199.6012513,0.01997528,162.5650267,-1.365440096,134.8557551,0.618654743,86.3836186,-0.144856994,68.01793211,-0.737788811,186.2872498,-0.783624382,164.2725171,121.0863374,114.8386386,160.1934107,115.2410353,118.0791896,171.1719914,111.2196358,104.5630995,159.0169437,106.6414475,121.238281,114.9107575,119.6495225,99.86868574,0
160.0044769,2.130171071,160.8767338,-0.561565587,123.1986885,1.411992826,92.97494453,-0.266655267,73.55518667,-0.537370935,192.3334456,-1.031799184,181.083139,110.6196868,127.152591,164.2725171,121.0863374,114.8386386,160.1934107,115.2410353,118.0791896,171.1719914,111.2196358,104.5630995,159.0169437,106.6414475,121.238281,0
190.1497299,-0.597090391,229.0219775,-2.019159647,149.7464236,-0.410654466,96.97008479,0.096960551,69.00481946,-1.032686289,182.8653194,-0.753861428,160.4406054,108.0868165,132.9443161,181.083139,110.6196868,127.152591,164.2725171,121.0863374,114.8386386,160.1934107,115.2410353,118.0791896,171.1719914,111.2196358,104.5630995,0
228.4327979,1.749131198,242.8638623,-1.804565176,129.6375655,0.155004713,102.1156103,-0.755792196,78.94436287,-1.223992255,183.463817,-0.587710607,209.5858537,123.3582542,125.9350694,160.4406054,108.0868165,132.9443161,181.083139,110.6196868,127.152591,164.2725171,121.0863374,114.8386386,160.1934107,115.2410353,118.0791896,0
230.620728,1.03996232,254.4192749,-1.86478645,154.6386985,-0.200540135,103.8388187,-0.162526283,80.45580083,-1.524536036,205.3450345,-1.403544115,235.6483301,115.8765879,131.2040899,209.5858537,123.3582542,125.9350694,160.4406054,108.0868165,132.9443161,181.083139,110.6196868,127.152591,164.2725171,121.0863374,114.8386386,0
229.7475488,0.180781542,200.4218674,-1.479427028,144.3168818,0.359247249,103.6435057,-1.111943978,98.048695,-1.443868487,220.2094744,-1.484555485,242.5200015,129.2387586,142.9004177,235.6483301,115.8765879,131.2040899,209.5858537,123.3582542,125.9350694,160.4406054,108.0868165,132.9443161,181.083139,110.6196868,127.152591,0
239.804833,-0.913105329,237.620396,0.835100606,108.1630108,0.852140479,114.8689414,-0.812211647,94.74332372,-1.397778711,183.8036891,-1.738935467,215.0847081,123.9801937,159.1290847,242.5200015,129.2387586,142.9004177,235.6483301,115.8765879,131.2040899,209.5858537,123.3582542,125.9350694,160.4406054,108.0868165,132.9443161,0
299.1280789,-0.703774759,181.0813193,-2.061135114,120.1563033,-1.049676457,95.33321417,-0.599716585,87.55477378,-0.902793426,103.2533477,-0.859584298,238.7126145,111.5159761,139.2735064,215.0847081,123.9801937,159.1290847,242.5200015,129.2387586,142.9004177,235.6483301,115.8765879,131.2040899,209.5858537,123.3582542,125.9350694,0
294.4643622,-1.691723569,182.8497515,-1.662737204,114.7022822,0.693874966,92.78625279,0.482904495,84.60053248,-1.628600441,101.0530242,-1.286297104,240.1046991,107.7447587,95.40406075,238.7126145,111.5159761,139.2735064,215.0847081,123.9801937,159.1290847,242.5200015,129.2387586,142.9004177,235.6483301,115.8765879,131.2040899,0
296.7111412,0.4526264,207.5103942,-0.447868528,61.5829061,-0.944943961,87.42405431,-0.45398785,94.66056373,-1.401152883,151.5032891,-1.222866259,238.6570568,103.7442675,92.82677833,240.1046991,107.7447587,95.40406075,238.7126145,111.5159761,139.2735064,215.0847081,123.9801937,159.1290847,242.5200015,129.2387586,142.9004177,0
