LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha ,AvgBeta,AvgGamma,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,eyesC
465.1527571,0.148443864,599.3247738,-0.071197132,438.7582322,-0.958390915,561.4861182,-0.382687294,409.8012444,-1.558908952,911.3115956,-1.490696573,532.2387654,500.1221752,660.55642,478.156402,482.7579149,552.540396,680.1165848,402.7830138,663.5120435,770.6360517,452.6770357,824.5248723,474.9144627,382.4140011,680.2737146,455.2893762,367.7540411,660.5686253,1
545.1623042,2.368080873,724.2166405,0.375896692,416.5111109,1.638395166,554.1128956,-0.446926605,497.0578583,-1.176082251,1145.236197,-1.415777542,634.6894723,485.3120032,821.1470278,532.2387654,500.1221752,660.55642,478.156402,482.7579149,552.540396,680.1165848,402.7830138,663.5120435,770.6360517,452.6770357,824.5248723,474.9144627,382.4140011,680.2737146,1
405.4115988,1.513350309,590.2703902,0.943153231,256.0329795,0.332214491,491.3221266,-0.339881962,387.609114,0.766173316,898.833793,-0.009041266,497.8409945,373.6775531,643.2214535,634.6894723,485.3120032,821.1470278,532.2387654,500.1221752,660.55642,478.156402,482.7579149,552.540396,680.1165848,402.7830138,663.5120435,770.6360517,452.6770357,824.5248723,1
379.0726976,0.276401354,511.3805532,1.681886752,283.7614918,0.977991677,471.0887215,0.45077184,359.24998,0.143457108,848.9232168,0.330603371,445.2266254,377.4251067,604.0865984,497.8409945,373.6775531,643.2214535,634.6894723,485.3120032,821.1470278,532.2387654,500.1221752,660.55642,478.156402,482.7579149,552.540396,680.1165848,402.7830138,663.5120435,1
667.144878,-1.391509464,453.6785194,0.365478982,314.5030899,0.810100769,464.8852772,0.566190639,375.8099403,0.59748765,860.4363305,0.165155015,560.4116987,389.6941835,618.1231354,445.2266254,377.4251067,604.0865984,497.8409945,373.6775531,643.2214535,634.6894723,485.3120032,821.1470278,532.2387654,500.1221752,660.55642,478.156402,482.7579149,552.540396,1
605.8708807,0.840041355,391.5829831,0.883410956,426.7834968,-0.062968464,445.5796437,0.58041782,409.8243519,0.697273404,974.8643648,0.484444207,498.7269319,436.1815702,692.3443584,560.4116987,389.6941835,618.1231354,445.2266254,377.4251067,604.0865984,497.8409945,373.6775531,643.2214535,634.6894723,485.3120032,821.1470278,532.2387654,500.1221752,660.55642,1
642.0919915,0.177863913,547.6570412,-2.040892834,554.9795693,-1.575424128,445.5994027,-0.745429599,379.1629378,0.949648035,927.7715221,0.806911455,594.8745163,500.289486,653.4672299,498.7269319,436.1815702,692.3443584,560.4116987,389.6941835,618.1231354,445.2266254,377.4251067,604.0865984,497.8409945,373.6775531,643.2214535,634.6894723,485.3120032,821.1470278,1
816.1341378,-0.950461371,475.2937449,-2.254915389,429.6461705,-1.175715258,492.7493981,0.455477468,415.4481653,0.312109729,1011.844575,0.666331682,645.7139414,461.1977843,713.6463704,594.8745163,500.289486,653.4672299,498.7269319,436.1815702,692.3443584,560.4116987,389.6941835,618.1231354,445.2266254,377.4251067,604.0865984,497.8409945,373.6775531,643.2214535,1
831.6330292,1.319213465,448.1257745,-2.028174928,261.4485864,0.781256766,465.7257069,-0.249727682,446.7810666,-0.689269715,1050.366373,0.05945226,639.8794019,363.5871466,748.57372,645.7139414,461.1977843,713.6463704,594.8745163,500.289486,653.4672299,498.7269319,436.1815702,692.3443584,560.4116987,389.6941835,618.1231354,445.2266254,377.4251067,604.0865984,1
882.6338977,0.630977586,460.7007836,-1.775153487,317.5700414,0.042669523,451.326292,-0.096457059,430.754838,0.186165237,1169.517802,1.100632571,671.6673407,384.4481667,800.13632,639.8794019,363.5871466,748.57372,645.7139414,461.1977843,713.6463704,594.8745163,500.289486,653.4672299,498.7269319,436.1815702,692.3443584,560.4116987,389.6941835,618.1231354,1
1034.875108,-0.112722913,465.2532787,-1.19299449,549.7484022,-0.406997377,448.8395015,0.081997376,568.6691119,1.058772277,1306.311892,1.138985119,750.0641932,499.2939518,937.490502,671.6673407,384.4481667,800.13632,639.8794019,363.5871466,748.57372,645.7139414,461.1977843,713.6463704,594.8745163,500.289486,653.4672299,498.7269319,436.1815702,692.3443584,1
955.3344221,-0.818396889,435.1816332,-1.593280272,299.3366669,-0.959778828,485.8978122,0.378344138,446.3665271,0.303363861,970.4657763,0.624050834,695.2580276,392.6172396,708.4161517,750.0641932,499.2939518,937.490502,671.6673407,384.4481667,800.13632,639.8794019,363.5871466,748.57372,645.7139414,461.1977843,713.6463704,594.8745163,500.289486,653.4672299,1
