LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,EyeM
381.506624,-1.007203358,480.6592029,-1.709387185,480.9691806,-2.049779082,606.4803929,-2.096860761,876.3492146,-2.040676808,1833.22916,-1.941462735,418.5209071,359.7362275,1224.599972,431.8913125,382.4805443,865.381492,448.0936426,376.9506209,865.0370015,409.5171953,407.1281949,867.1570255,441.8314001,416.4034644,860.8449411,1
505.9210424,-2.165547766,224.7009594,-1.146968586,468.5174139,-2.330525272,553.1868017,-2.051246855,764.3610106,-2.074024919,1334.368074,-1.812531743,431.0829135,543.7247868,1354.789187,418.5209071,359.7362275,1224.599972,431.8913125,382.4805443,865.381492,448.0936426,376.9506209,865.0370015,409.5171953,407.1281949,867.1570255,1
458.5270677,0.065771436,221.1359804,0.671310541,350.2551297,-2.052392285,292.4933972,-0.712239363,275.897443,-1.254544521,1227.277411,-1.261003904,365.3110009,510.8521078,1049.364542,431.0829135,543.7247868,1354.789187,418.5209071,359.7362275,1224.599972,431.8913125,382.4805443,865.381492,448.0936426,376.9506209,865.0370015,1
360.4464682,2.741705752,189.5794827,0.845136005,285.0335202,1.023211504,281.8747444,-0.125673407,200.0976788,0.998409916,1169.015001,0.944846729,339.8315241,321.3742634,751.5874269,365.3110009,510.8521078,1049.364542,431.0829135,543.7247868,1354.789187,418.5209071,359.7362275,1224.599972,431.8913125,382.4805443,865.381492,1
922.2453327,2.030461915,293.8677113,2.174127393,224.290645,1.598156662,260.0595205,1.012772052,262.7923363,1.05701005,1237.037741,0.947303192,275.0129755,283.4541323,684.55634,339.8315241,321.3742634,751.5874269,365.3110009,510.8521078,1049.364542,431.0829135,543.7247868,1354.789187,418.5209071,359.7362275,1224.599972,1
763.8964679,1.319541583,236.1252317,0.735831849,177.0405764,-0.222880413,294.0684251,1.189423373,304.6148105,0.920116213,1354.511759,0.852775501,608.056522,242.1750828,749.9150385,275.0129755,283.4541323,684.55634,339.8315241,321.3742634,751.5874269,365.3110009,510.8521078,1049.364542,431.0829135,543.7247868,1354.789187,1
756.3097368,0.556230513,236.0384952,1.214865288,171.258245,1.275462436,321.6740715,0.734047447,291.9341327,0.934077013,1435.649998,1.126425674,500.0108498,235.5545007,829.5632848,608.056522,242.1750828,749.9150385,275.0129755,283.4541323,684.55634,339.8315241,321.3742634,751.5874269,365.3110009,510.8521078,1049.364542,1
632.3048982,-0.316662375,252.3286402,1.117897695,275.299447,1.83001041,260.2583176,0.661898509,297.2374526,1.353768922,1418.755909,1.259847253,496.174116,246.4661582,863.7920652,500.0108498,235.5545007,829.5632848,608.056522,242.1750828,749.9150385,275.0129755,283.4541323,684.55634,339.8315241,321.3742634,751.5874269,1
692.6405932,1.625410794,377.8778833,1.410575528,140.2669776,0.863021135,244.033875,0.926936963,260.4470523,1.220561366,1411.528521,0.718097789,442.3167692,267.7788823,857.9966806,496.174116,246.4661582,863.7920652,500.0108498,235.5545007,829.5632848,608.056522,242.1750828,749.9150385,275.0129755,283.4541323,684.55634,1
655.2157568,0.771822516,297.1873624,2.123814049,149.8667715,-0.500566337,215.2073632,0.917276013,163.520596,1.156930647,1337.196989,0.786232219,535.2592383,192.1504263,835.9877866,442.3167692,267.7788823,857.9966806,496.174116,246.4661582,863.7920652,500.0108498,235.5545007,829.5632848,608.056522,242.1750828,749.9150385,1
639.1225253,-0.055705826,296.8717299,0.844751839,157.1954559,0.18570161,287.3117685,0.814008141,396.0719644,1.366267833,1623.210429,1.464249998,476.2015596,182.5370673,750.3587926,535.2592383,192.1504263,835.9877866,442.3167692,267.7788823,857.9966806,496.174116,246.4661582,863.7920652,500.0108498,235.5545007,829.5632848,1
